"记录类型","报告月份","用量日期_中国时区","请求时间_UTC","数据时点_UTC","用户名","用户ID","接口","请求模型","上游模型","客户模型别名","输入Token","输出Token","总Token","缓存Token","缓存读取Token","缓存创建Token","图片数","视频数","计量类型","计量数量","计费SKU","价格版本","计费模式","模型倍率","输出倍率","缓存读取倍率","图片倍率","视频倍率","请求日志费用_分","请求日志费用_USD","日账本费用_分","日账本费用_USD","日账本计费请求数","请求日志记录数","耗时毫秒","状态码"
"请求明细","2026-08","2026-08-01","2026-08-01T08:21:40Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","35281","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:21:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","986","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:22:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1552","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:22:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","20","96","0","0","0","0","0","tokens","96","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1635","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:22:07Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2728","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:22:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1420","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:22:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1265","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:22:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1160","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:23:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1524","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:23:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","17","93","0","0","0","0","0","tokens","93","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1446","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:23:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1766","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:23:14Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2423","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:23:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","911","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:24:03Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1152","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:24:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","20","96","0","0","0","0","0","tokens","96","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2105","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:24:14Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2352","200"
