"记录类型","报告月份","用量日期_中国时区","请求时间_UTC","数据时点_UTC","用户名","用户ID","接口","请求模型","上游模型","客户模型别名","输入Token","输出Token","总Token","缓存Token","缓存读取Token","缓存创建Token","图片数","视频数","计量类型","计量数量","计费SKU","价格版本","计费模式","模型倍率","输出倍率","缓存读取倍率","图片倍率","视频倍率","请求日志费用_分","请求日志费用_USD","日账本费用_分","日账本费用_USD","日账本计费请求数","请求日志记录数","耗时毫秒","状态码"
"请求明细","2026-08","2026-08-01","2026-08-01T08:02:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1567","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:02:16Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","4221","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:02:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1246","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:02:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1550","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:03:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","20","96","0","0","0","0","0","tokens","96","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1603","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:03:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2957","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:03:12Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","7930","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:03:15Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2841","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:03:30Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2207","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:03:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1553","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:04:03Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1223","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:04:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","1437","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:04:06Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","17","93","0","0","0","0","0","tokens","93","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2077","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:04:16Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","4372","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:04:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","1462","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:04:49Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","21354","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:05:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1366","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:05:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","76","17","93","0","0","0","0","0","tokens","93","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","1640","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:05:08Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","483","1","484","398","398","83","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","4030","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:05:15Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2697","200"
"请求明细","2026-08","2026-08-01","2026-08-01T08:05:30Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","483","1","484","398","398","84","0","0","tokens","484","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2300","200"
